grid_cell,grid_row_u,grid_col_r,product_id,timestamp,cloud_cover,nodata,centre_lat,centre_lon,crs,parquet_url,parquet_row,geometry,unique_identifier
206U_782L,206,-782,S2A_MSIL1C_20220101T153621_N0301_R068_T18QWF_20220101T172613,2022-01-01 15:36:21,0.0,0.0,18.54793802741585,-74.01710121993398,EPSG:32618,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02227.parquet,223,POINT (-74.01710121993398 18.54793802741585),05389_p18.55_n74.02
206U_121L,206,-121,S2A_MSIL1C_20210322T110731_N0500_R137_T29QKA_20230606T011419,2021-03-22 11:07:31,0.0,0.0,18.54875413080888,-11.413451685039233,EPSG:32629,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02228.parquet,65,POINT (-11.413451685039233 18.54875413080888),05391_p18.55_n11.41
206U_10R,206,10,S2B_MSIL1C_20230421T101559_N0509_R065_T31QBA_20230421T124243,2023-04-21 10:15:59,0.0,0.0,18.54866471630066,0.9939296722223266,EPSG:32631,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02228.parquet,193,POINT (0.9939296722223266 18.54866471630066),05392_p18.55_p0.99
206U_155R,206,155,S2A_MSIL1C_20200705T093041_N0500_R136_T33QVA_20230530T083715,2020-07-05 09:30:41,0.0,0.0,18.54825830079912,14.727642243916325,EPSG:32633,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02228.parquet,338,POINT (14.727642243916325 18.54825830079912),05393_p18.55_p14.73
206U_280R,206,280,S2B_MSIL1C_20230210T084009_N0509_R064_T35QMA_20230210T103910,2023-02-10 08:40:09,0.0,0.0,18.548297815534507,26.56658880609441,EPSG:32635,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02228.parquet,461,POINT (26.56658880609441 18.548297815534507),05394_p18.55_p26.57
206U_397R,206,397,S2B_MSIL1C_20221001T075729_N0400_R035_T37QCA_20221001T103802,2022-10-01 07:57:29,0.0,0.0,18.54851639198168,37.64762966376588,EPSG:32637,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02229.parquet,77,POINT (37.64762966376588 18.54851639198168),05395_p18.55_p37.65
206U_551R,206,551,S2A_MSIL1C_20201227T070311_N0500_R063_T39QXA_20230331T144349,2020-12-27 07:03:11,0.0,0.0,18.54787136645922,52.23394733403652,EPSG:32639,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02229.parquet,230,POINT (52.23394733403652 18.54787136645922),05396_p18.55_p52.23
206U_816R,206,816,S2B_MSIL1C_20220526T051649_N0400_R062_T43QGA_20220526T072530,2022-05-26 05:16:49,0.6924280043204422,0.0,18.547569394361805,77.33286600428637,EPSG:32643,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02229.parquet,393,POINT (77.33286600428637 18.547569394361805),05397_p18.55_p77.33
206U_1030R,206,1030,S2A_MSIL1C_20201213T040151_N0500_R004_T47QLA_20230226T014236,2020-12-13 04:01:51,0.0,0.0,18.54852734042112,97.60026030567184,EPSG:32647,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02230.parquet,62,POINT (97.60026030567184 18.548527340421117),05398_p18.55_p97.60
206U_1257R,206,1257,S2A_MSIL1C_20230505T022531_N0509_R046_T50QQF_20230505T041342,2023-05-05 02:25:31,0.0508493596487536,0.0,18.54763454952019,119.10076827636898,EPSG:32650,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02230.parquet,289,POINT (119.10076827636898 18.54763454952019),05399_p18.55_p119.10
